Type,AGB,Mean_AGB_Carbon_Secure,Low_AGB_Carbon_Secure,Hi_AGB_Carbon_Secure,Mean_AGB_Carbon_Restor,Low_AGB_Carbon_Restor,Hi_AGB_Carbon_Restor,Mean_SOC_Carbon_Secure,Low_SOC_Carbon_Secure,Hi_SOC_Carbon_Secure,Mean_SOC_Carbon_Restor,Low_SOC_Carbon_Restor,Hi_SOC_Carbon_Restor,typology_class,total_AGB_MgC,total_SOC_MgC,total_carbon_MgC,AGB_ha,carbon_density,restoration_efficiency,AGB_uncertainty,SOC_uncertainty
Delta_8772,206601.89572585,23912.9229360189,23864.2695748333,23961.5762972044,42243.0700943554,29275.3779482019,61002.4249355445,471724.663844551,471496.36811999,471952.959569111,117051.425405935,55101.6901279552,171316.969255948,Delta,66155.99303037429,588776.089250486,654932.0822808603,206601.89572585,3.170019713419867,0.7710214610599022,97.30672237110048,456.5914491210133
Delta_8775,25219.355057092,3386.37901921066,3374.51649969653,3398.24153872479,4689.11066362077,3085.91260206736,6988.29108870215,84742.2605447869,84646.4623802501,84838.0587093236,10590.1949722539,420.923339446962,19509.9212001504,Delta,8075.4896828314295,95332.4555170408,103407.94519987222,25219.355057092,4.100340590224277,0.6058563195325621,23.7250390282602,191.59632907349442
Delta_8776,79815.6874890854,6175.38090015924,6171.35784761744,6179.40395270103,19382.4003907208,14342.8645757101,26599.0925330864,81233.0514331776,81186.1961589109,81279.9067074443,45352.8557273136,31865.5664719418,57171.0992909471,Delta,25557.78129088004,126585.90716049122,152143.68845137127,79815.6874890854,1.9061877838510952,0.8110593061907385,8.046105083590191,93.7105485334032
Delta_8779,235227.918618228,35034.569725755,34934.6628534986,35134.4765980114,40287.7620949877,26347.271252799,61680.7129517729,1527628.99202867,1526477.17415513,1528780.80990221,164639.243310097,0.0,308931.337029491,Delta,75322.3318207427,1692268.2353387668,1767590.5671595095,235227.918618228,7.5143740485511294,0.8711848772410332,199.81374451280135,2303.6357470799703
Delta_8780,146340.062713799,28274.8647009454,28219.2524130656,28330.4769888251,18584.6867806401,12081.8621978267,31847.0757542573,138982.849102511,138892.319661808,139073.378543215,12099.8780735329,2111.51116493886,20852.0684763129,Delta,46859.5514815855,151082.7271760439,197942.2786576294,146340.062713799,1.352618517355361,0.20967986677840628,111.22457575950102,181.05888140699244
Delta_8781,3344321.80874508,260051.692409811,259764.133653979,260339.251165643,810833.593968452,599736.672745173,1113721.58672766,4526275.82445792,4524074.27806893,4528477.37084692,2520802.41668276,1771714.21272003,3177044.73767464,Delta,1070885.286378263,7047078.24114068,8117963.527518943,3344321.80874508,2.4273870733047427,0.9962067651322621,575.1175116640225,4403.092777989805
Delta_8782,3479.16294698601,365.578281508658,358.829997783697,372.326565233618,748.484485745732,519.048723580112,1081.91428694465,13082.6338940916,13026.4708416899,13138.7969464934,4069.49384427323,2230.31763641921,5694.7016502792,Delta,1114.0627672543899,17152.12773836483,18266.19050561922,3479.16294698601,5.250168153648329,1.3848096233011347,13.496567449920974,112.32610480350013
Delta_8783,53712.6017396758,9909.71964104227,9872.58629058626,9946.85299149827,7289.59256201933,4693.57272435527,12179.9390922911,59540.4286076539,59475.0157828977,59605.84143241,4744.56076411503,0.0,8905.82489029732,Delta,17199.3122030616,64284.98937176893,81484.30157483052,53712.6017396758,1.5170425363074647,0.22404711252788026,74.26670091201049,130.8256495122987
Delta_8784,69080.8856000036,17267.0848545387,17199.2779819095,17334.8917271679,4853.30552343843,2991.82765516383,11127.9292264547,208692.475046279,208507.953113992,208876.996978566,10002.8739776219,3033.49382439699,16112.9668411202,Delta,22120.39037797713,218695.3490239009,240815.73940187803,69080.8856000036,3.485996702420177,0.21505485015176987,135.6137452583971,369.0438645739923
Delta_8785,92698.5866221424,8135.50171732084,8126.03437465976,8144.96905998192,21547.5127049554,15843.4515368518,29943.730452603,80239.1309144682,80194.6514479298,80283.6103810066,39922.7124431262,27578.1322248263,50738.9469585183,Delta,29683.01442227624,120161.8433575944,149844.85777987062,92698.5866221424,1.6164740287860875,0.6631193353426874,18.934685322159567,88.95893307679216
Delta_8786,1035936.38179946,80144.0034696,80107.9816893609,80180.0252498391,251573.185346404,186100.239905871,345169.718371904,1606657.56553919,1605994.78517285,1607320.34590552,892863.606682194,626097.377610375,1126522.49302456,Delta,331717.18881600397,2499521.172221384,2831238.361037388,1035936.38179946,2.733023389061229,1.104736557317032,72.04356047821057,1325.5607326701283
Delta_8787,85199.5418502382,12822.0105378291,12777.9363222685,12866.0847533898,14459.7347580356,9445.96579449955,22220.8534573162,232789.422516205,232630.994249856,232947.850782555,24787.4641384217,0.0,46508.1255221633,Delta,27281.745295864697,257576.8866546267,284858.6319504914,85199.5418502382,3.3434291518986026,0.4606503514472545,88.14843112129893,316.85653269899194
Delta_8788,15291.090553177,4699.844355125,4652.70087947757,4746.98783077242,196.515750907796,40.15551111897,1591.57846660984,634005.581439125,632913.488589856,635097.674288395,1290.99505936447,0.0,2424.78531653581,Delta,4896.3601060327965,635296.5764984895,640192.9366045223,15291.090553177,41.86705548424803,0.09727957630616535,94.28695129485004,2184.1856985390186
Delta_8795,62873.7100301735,10211.248689851,10180.7267934169,10241.7705862851,9921.54199891088,6456.78023216509,15639.3580992653,75655.9769905825,75604.4478941751,75707.5060869899,7321.27278966243,0.0,13736.7361691614,Delta,20132.79068876188,82977.24978024492,103110.04046900681,62873.7100301735,1.639954766778096,0.27424522555291186,61.0437928682004,103.05819281480217
Delta_8797,84762.0751212597,26376.2760694846,26354.6948777198,26397.8572612494,765.388005093972,0.576972724110064,8417.80904077311,80518.7637243178,80490.800914371,80546.7265342647,0.419047144274237,0.0,0.785986260537641,Delta,27141.664074578573,80519.18277146207,107660.84684604064,84762.0751212597,1.2701535054683621,0.009034784143057977,43.16238352959772,55.925619893707335
Delta_8799,1013.11245553899,107.056254947642,105.654666525065,108.457843370218,217.3524844405,151.376441920208,312.777212411267,2379.14765449517,2364.41403570663,2393.88127328371,729.595983817803,395.531943114021,1026.06048353936,Delta,324.408739388142,3108.7436383129734,3433.1523777011153,1013.11245553899,3.38871796406316,0.9346923562937671,2.803176845153004,29.46723757708014
Delta_8801,1249.72725553394,111.049696967087,108.294355961112,113.805037973062,289.125467527436,205.399424718612,411.821502543396,3467.37644232648,3426.8210208311,3507.93186382186,1565.06869954038,1019.91150805833,2055.28091504533,Delta,400.175164494523,5032.4451418668605,5432.620306361384,1249.72725553394,4.347044751008749,1.4836790658579504,5.510682011949996,81.11084299075992
Delta_8802,54027.1905891007,8101.1389151959,8080.29087811461,8121.98695227719,9198.90778334002,6335.75667703749,14108.3746555023,161582.786574459,161511.147732233,161654.425416685,31893.4370428032,15691.6459129383,46084.3369607864,Delta,17300.04669853592,193476.2236172622,210776.27031579812,54027.1905891007,3.9012998458283628,0.7605863710121007,41.69607416257986,143.27768445201218
Delta_8805,365254.930649954,29105.2814720638,29090.5841885739,29119.9787555537,87852.9998713581,64943.5861353266,120859.994440736,335649.056871084,335494.455430273,335803.658311896,182825.281842253,128056.914222162,230802.2286773,Delta,116958.2813434219,518474.33871333697,635432.6200567589,365254.930649954,1.73969621416482,0.7410667427047509,29.39456697980131,309.2028816230013
Delta_8806,15331.7601244465,2482.90260579588,2478.31079540711,2487.49441618465,2426.48030365315,1581.20038868392,3816.4500736861,19317.0917620433,19291.0098628921,19343.1736611945,1876.49840043044,0.0,3523.18508412214,Delta,4909.38290944903,21193.590162473738,26102.973071922766,15331.7601244465,1.7025424908847588,0.2806578415757032,9.18362077754,52.16379830240112
