"Name","Area_2020_km2","Gross_Loss","Restorable_km2","OVERALL_SRE","OVERALL_SCORE_MIN","OVERALL_SCORE_MAX","Min_Score","Max_Score","Total_Fish","Fish","Crab","Bivalve","Shrimp","MeanAGB_Secure","MeanAGB_Restor","MeanSOC_Secure","MeanSOC_Restor","Area_Rank","Proportion_Restorable"
"Maldives",0.973440771478837,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,NA
"Marshall Islands",0.325446443471506,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA
"Martinique",19.4062809037196,0.772238636206185,0.772238636206185,0.596,0.596,0.596,0.572,0.656,1011773.50917607,490662.34794575,521111.161230317,0,0,578.522093199406,790.646860705855,13490.268318436,1610.77830667893,75,3.98
"Mauritania",3.43163054041957,0.383109958324465,0.0655751080739702,0.597384615384615,0.483384615384615,0.711384615384615,0.573846153846154,0.657384615384615,0,0,0,0,0,22.3490725656949,27.7862876922621,825.538334095193,118.788691821223,90,1.91
"Mauritius",4.31726077532901,1.40234805032815,1.04586780081736,0.631841622255457,0.619841622255457,0.643841622255457,0.580344996103048,0.691841622255458,1560002.42314319,841044.982060118,3489.56126205625,0,715467.879821011,2893.76988680628,1621.96674756621,11443.558151883,994.150702459416,88,24.23
"Mayotte",6.76035875634467,0.400538389779392,0.342533380752546,0.801920909911097,0.801920909911097,0.801920909911097,0.766461869088771,0.801920909911097,1229200.00454026,418612.56639657,1702.76706825624,0,808884.671075435,1083.12774958659,626.395198703394,5893.54515523736,549.957917546885,85,5.07
"Mexico",10057.8534016418,811.799262311946,661.060608067615,0.687176779177608,0.404,0.876,0.617090714190004,0.747176779177608,1234340675.5443,423422122.210454,525192190.632091,285726362.701754,0,188155.913883852,244250.553077791,9707265.86623743,1743404.25918037,4,6.57
"Micronesia, Federated States of",87.9442992436808,3.12995693224329,2.53172126214076,0.785052840223838,0.749052840223838,0.809052840223838,0.672419002616321,0.845052840223838,10063813.3283792,3750852.48998996,15326.5636481102,0,6297634.27474117,4719.22107120485,11073.0283133593,22392.9434990137,10557.8356673163,60,2.88
"Mozambique",3027.35016122497,272.402057300471,160.281484836029,0.740916988106017,0.495190233258648,0.9,0.704,0.743429019919468,1448106632.78679,270587817.204865,925508859.863968,0,252009955.717954,232998.505983102,123777.056791415,2778914.51771139,171836.533134302,12,5.29
"Myanmar",5438.552507615,634.41180943529,602.983168437166,0.840237403369615,0.68,0.903934459993605,0.725773362918986,0.868027660655153,3583739157.92766,1201061402.81061,4925615.22720038,0,2377752139.88985,511795.208604292,1315347.94481751,5967869.46063225,2917068.95439715,6,11.09
"New Caledonia",334.133391747527,15.1808170442556,11.711268618338,0.68,0.632237918215613,0.83846136755186,0.64819847223429,0.74,21935230.0469479,9189090.88911846,37528.8617692711,0,12708610.2960602,17431.0716948737,15457.7192034073,234911.381771054,21326.706180313,43,3.5
"New Zealand",296.08457693304,25.3829959664153,12.8884014887219,0.692,0.604,0.752,0.662,0.74,0,0,0,0,0,18178.4985828678,24843.9480632526,134925.909138972,16110.5563151012,44,4.35
"Nicaragua",749.101186792826,69.9921459267914,60.5011782335149,0.740165257508382,0.576,0.891782395164337,0.694961675691559,0.800165257508382,625200065.011688,70678513.0205566,205227486.512999,349294065.478133,0,31270.3307685479,65470.1915736604,699802.707353744,279255.574620806,32,8.08
"Nigeria",8440.20536299146,304.536170866541,202.988463746804,0.692,0.611639749379845,0.842752073626232,0.668,0.752,0,0,0,0,0,382968.276465448,207189.54089937,4565695.39241502,326947.171544142,5,2.41
"Oman",1.44089039522316,0.48155735099499,0.394264004680225,0.733924050632911,0.644,0.777924050632911,0.680524420392001,0.793924050632911,1925158.7071901,655626.11793104,2666.85391772034,0,1266865.73534134,343.874085662601,215.72695757916,2472.03007751789,167.843471963036,99,27.36
