"Type","AGB","Mean_AGB_Carbon_Secure","Low_AGB_Carbon_Secure","Hi_AGB_Carbon_Secure","Mean_AGB_Carbon_Restor","Low_AGB_Carbon_Restor","Hi_AGB_Carbon_Restor"
"Delta_8830",65385.4506402477,8794.84241577634,8717.53240248355,8872.15242906913,12142.2327337374,7943.35106782891,18198.5788532057
"Delta_8831",9932.05275812051,2047.08870387383,2011.24856966534,2082.92883808231,1133.25390980394,709.888448772772,2064.65069805538
"Delta_8832",60780.7931558083,4829.7064181178,4823.39139050681,4836.0214457288,14632.9113583036,10796.3701216268,20141.6404832001
"Delta_8834",290703.723154513,78628.100888896,78501.9683874946,78754.2333902974,14458.1383024106,8188.93225334399,40744.8709720563
"Delta_8835",628571.778216564,54307.327236518,54287.1635724021,54327.4909006339,146967.641866208,108399.89243082,203740.434583147
"Delta_8836",2954407.83987394,241330.482318829,241233.406874219,241427.557763439,704700.452087204,520649.346511051,971578.700671283
"Estuary_10",112.100488131314,34.8845509015835,30.3180279474889,39.4510738556782,1.01114640294445,0,12.5786032583322
"Estuary_1002",125195.626333512,38959.6269587257,38884.8407058332,39034.4132116183,1129.26454952828,0,12445.7549370377
"Estuary_10040",109.131685879677,20.3283378617389,19.8831057800917,20.7735699433862,14.6167192737923,9.23107510490954,24.9961299563392
"Estuary_1005",1116.2525710291,325.977572860862,323.835587872615,328.119557849108,31.4576629083668,14.7105125090399,133.011955174712
"Estuary_10082",103.931032198554,32.342297909868,31.8775131321636,32.8070826875723,0.937457910430957,0,10.4602292627042
"Estuary_10089",60.2474639213365,18.7484082976807,18.4334828396227,19.0633337557387,0.543432124570456,0,6.07816438588772
"Estuary_10099",10.5224891316884,3.2744933928901,2.98748052573131,3.56150626004889,0.0949128519678291,0,1.1355527205953
"Estuary_101",5940.0821856012,803.693119711842,802.339506260274,805.04673316341,1098.38059693952,722.105555634246,1636.92835743227
"Estuary_1010",14557.6522503708,4530.19580379288,4505.32497784479,4555.06662974098,131.310023298345,0,1452.34008484495
"Estuary_10105",3.07488173465034,0.95687244700584,0.838546260660499,1.07519863335118,0.0277354332465461,0,0.342816955561246
"Estuary_10108",116.533290573975,36.2639946937152,31.2500822364267,41.2779071510037,1.05113028097725,0,13.1610718452476
"Estuary_10111",66.2011083461711,20.601122906245,19.7341013423293,21.4681444701607,0.597133997282464,0,6.84491562816717
"Estuary_10124",2579.94974711549,349.067200784726,329.663838596039,368.470562973414,477.058507739126,296.697454736435,749.223478045941
"Estuary_1014",67485.9221697471,11596.2205694458,11570.1849048455,11622.2562340461,10013.4465685289,6584.74006214572,16136.825751887
"Estuary_10141",646.433196448332,87.4624114794593,81.9407742971384,92.9840486617802,119.531962355261,73.7466968674245,189.067565612286
"Estuary_10143",33.4307224475915,10.403306518466,10.157681779782,10.64893125715,0.301545116477276,0,3.39531141532318
"Estuary_10146",677.820584789859,91.709125122068,87.653381879536,95.7648683645999,125.335804333493,78.8880436915824,194.72189900802
"Estuary_10147",95.3779323700129,29.6806587742243,28.8922723909793,30.4690451574693,0.860308949977518,0,9.7147680212221
"Estuary_1016",2550.3246425937,345.058924142928,336.924089147097,353.193759138758,471.580529662001,303.231680232387,718.160643582141
"Estuary_10179",21.1630724040823,6.4017061488574,5.78325935137825,7.02015294633655,0.374921265653798,0.115097409420808,2.50446339056007
"Estuary_1019",2852.49916088185,553.185212312889,551.492429512236,554.877995113543,360.213543993089,230.857240651543,619.398585990587
"Estuary_1021",74966.7787632755,18580.6616058635,18551.6542563051,18609.6689554219,5424.45062192494,3282.11827498102,12205.4790473165
"Estuary_10216",19852.5418328121,1852.51673815805,1826.62881921072,1878.40465710539,4504.4656821267,3255.04672955002,6383.13647914158
"Estuary_10250",12624.5127010689,1708.09656845462,1698.25345146883,1717.93968544041,2334.39864355465,1528.42810632194,3493.14402706218
"Estuary_1027",4909.08262699455,1473.11708117481,1462.12433699717,1484.10982535244,98.8202668151182,37.517564358378,545.661211295114
"Estuary_1031",9835.59135498794,3060.7376737587,3055.84283702263,3065.63251049476,88.7170340219913,0,977.448046824416
"Estuary_10314",8191.10846594208,721.598334373164,720.389906322476,722.806762423853,1901.27650750615,1390.88344416543,2644.53577130641
"Estuary_10332",0,0,0,0,0,0,0
"Estuary_10334",6441.2219088039,567.441515400109,560.998397106109,573.884633694109,1495.10215201799,1083.1403603661,2099.67382889148
"Estuary_1036",1925.27508064152,599.126352344835,592.729250889499,605.523453800172,17.3659812273866,0,193.065449037736
"Estuary_1037",0,0,0,0,0,0,0
"Estuary_1040",633.59886062701,190.130290142208,187.433734694607,192.826845589808,12.7544010191673,4.80947962249099,70.8964581578481
"Estuary_10419",40997.6373462737,5546.98033295083,5515.52888589342,5578.43178000823,7580.87312169946,4963.97599730408,11342.8112860167
"Estuary_10441",2678.257900109,237.162476969003,231.134404812727,243.190549125279,620.442485224901,445.54815407416,883.931756878123
"Estuary_10447",0,0,0,0,0,0,0
"Estuary_1059",3986.67703730865,1196.32169328187,1188.65932591066,1203.98406065308,80.25216083473,30.5005543178546,442.667644734417
"Estuary_107",1057.03249682901,143.016496820966,142.582763460118,143.450230181814,195.455878988653,128.324487114106,291.682134703021
"Estuary_1072",13299.7975331271,3991.00206920145,3978.46854272088,4003.53559568202,267.72609888119,102.08601677875,1471.97602582017
"Estuary_1077",1207.45378714311,163.368497400462,163.084708143159,163.652286657766,223.270279780632,146.776237328843,332.759649537458
"Estuary_1080",8641.37757944187,1169.17838649849,1157.34419830974,1181.01257468723,1597.8771282146,1041.60977847877,2401.39223519736
"Estuary_1085",2533.95044106561,342.843494676177,341.741351524974,343.945637827381,468.552776057442,307.567216372477,699.356130249007
"Estuary_1087",31811.3832233794,4519.03663809915,4502.94945522742,4535.12382097087,5667.28638385918,3732.91585940214,8567.06259709582
"Estuary_1091",8752.06776672656,2555.85329176987,2547.37601961414,2564.3305639256,246.646327813644,115.716765559759,1039.51932721691
"Estuary_1092",1418.52485198449,191.926412473501,188.796061756223,195.056763190779,262.299430380451,169.9164555806,396.615418487918
"Estuary_1095",9921.13973276766,3087.35947343997,3078.45737743672,3096.26156944321,89.4886803895644,0,987.213833735516
"Estuary_1102",661.129850488109,205.736998173395,203.838060839181,207.635935507608,5.96339125140275,0,66.202762045904
"Estuary_1104",9736.60961228762,1257.8107578183,1251.59576298781,1264.02575264879,1859.94900613232,1246.3764000247,2751.72092647277
"Estuary_1108",14659.9371055291,1983.48949037808,1968.87188695678,1998.10709379939,2710.76897018338,1771.9846982611,4062.81775739209
"Estuary_1110",8012.04016600166,2493.26677925806,2484.30648487199,2502.22707364412,72.268602297335,0,797.811530727112
"Estuary_1129",8715.74211918108,2712.25179006796,2702.2059021774,2722.29767795851,78.6159939150134,0,867.978969783875
"Estuary_1132",1973.67978622094,438.500520310888,434.66650462078,442.334536000996,193.49148403492,120.567296759179,374.765751615171
